발령시일,발령시,인구가중치,PM10,PM2.5,경보,주의보
2019-01-04,20,0.001036952,0,1,0,1
2019-01-05,2,0.001345985,0,1,0,1
2019-01-05,3,0.287397641,0,3,0,3
2019-01-05,4,0.024171228000000003,0,2,0,2
2019-01-05,5,0.08036666,0,2,0,2
2019-01-05,7,0.06546782,0,3,0,3
2019-01-05,8,0.043739825999999996,0,3,0,3
2019-01-05,9,0.161425457,0,7,0,7
2019-01-05,10,0.032433905,0,3,0,3
2019-01-05,11,0.037568486,1,3,0,4
2019-01-05,12,0.021773972,0,6,0,6
2019-01-07,10,0.005599113,0,1,0,1
2019-01-08,8,0.001036952,0,1,0,1
2019-01-08,11,0.06995900299999999,0,3,0,3
2019-01-11,5,0.005599113,0,1,0,1
2019-01-11,12,0.001036952,0,1,0,1
2019-01-11,20,0.09048874800000001,0,3,0,3
2019-01-11,21,0.044543101,0,2,0,2
2019-01-11,22,0.023576725,0,1,0,1
2019-01-11,24,0.006626511999999999,0,1,0,1
2019-01-12,3,0.023930489,0,2,0,2
2019-01-12,4,0.056789935,0,1,0,1
2019-01-12,5,0.00179431,0,1,0,1
2019-01-12,12,0.23060770600000002,0,2,0,2
2019-01-12,14,0.056789935,1,0,0,1
2019-01-12,15,0.004837183,0,2,0,2
2019-01-12,18,0.002150778,0,1,0,1
2019-01-12,19,0.056789935,0,1,0,1
2019-01-12,20,0.001114566,0,2,0,2
2019-01-12,21,0.0025211969999999998,0,3,0,3
2019-01-12,23,0.028811121,0,2,0,2
2019-01-13,4,0.041011413,0,2,0,2
2019-01-13,5,0.023576725,0,1,0,1
2019-01-13,6,0.020966376000000002,0,1,0,1
2019-01-13,7,0.0032048520000000002,0,1,0,1
2019-01-13,10,0.001345985,0,1,0,1
2019-01-13,11,0.049830127,0,2,0,2
2019-01-13,13,0.018674594,0,1,0,1
2019-01-13,18,0.018674594,0,1,0,1
2019-01-13,19,0.000436631,0,1,0,1
2019-01-13,20,0.001345985,1,0,0,1
2019-01-14,1,0.056789935,1,0,0,1
2019-01-14,3,0.024147626999999998,0,2,0,2
2019-01-14,4,0.0032048520000000002,0,1,0,1
2019-01-14,5,0.004284784,0,2,0,2
2019-01-14,7,0.00131465,0,1,0,1
2019-01-14,9,0.047436372000000004,0,1,0,1
2019-01-14,10,0.018674594,0,1,0,1
2019-01-14,11,0.25229980300000004,4,2,0,6
2019-01-14,12,0.09638150300000001,6,0,0,6
2019-01-14,13,0.057262795,1,1,0,2
2019-01-14,14,0.021879446,2,0,0,2
2019-01-14,15,0.070036713,3,2,2,3
2019-01-14,16,0.034742342,2,1,1,2
2019-01-14,17,0.014078422,1,1,1,1
2019-01-14,18,0.246087585,0,2,2,0
2019-01-14,19,0.10688226199999999,4,2,2,4
2019-01-14,20,0.080866642,2,1,0,3
2019-01-14,21,0.056020708,2,2,2,2
2019-01-14,22,0.001473583,0,2,1,1
2019-01-14,23,0.0004999819999999999,1,0,0,1
2019-01-15,1,0.005599113,0,1,1,0
2019-01-15,2,0.000530393,0,1,0,1
2019-01-15,4,0.0072222219999999995,0,1,0,1
2019-01-15,5,0.007180915,0,3,0,3
2019-01-15,6,0.000848746,0,1,0,1
2019-01-15,7,0.002490767,1,1,0,2
2019-01-15,8,0.043226497,1,2,0,3
2019-01-15,9,0.047436372000000004,1,0,0,1
2019-01-15,10,0.05509756,0,3,0,3
2019-01-15,11,0.008035518,0,2,0,2
2019-01-15,12,0.030894967,1,1,0,2
2019-01-15,14,0.001345985,0,1,0,1
2019-01-15,15,0.247124537,0,3,0,3
2019-01-15,16,0.042502778000000005,0,4,0,4
2019-01-15,17,0.08036666,0,2,0,2
2019-01-15,18,0.020966376000000002,0,1,0,1
2019-01-15,19,0.023576725,0,1,0,1
2019-01-18,11,0.005599113,0,1,0,1
2019-01-18,21,0.02492271,0,2,0,2
2019-01-18,22,0.08036666,0,2,0,2
2019-01-18,23,0.054665189,0,3,0,3
2019-01-19,2,0.001036952,0,1,0,1
2019-01-19,6,0.005255895,0,1,0,1
2019-01-19,9,0.056789935,0,1,0,1
2019-01-19,10,0.193064844,0,3,0,3
2019-01-19,12,0.026933436999999998,0,3,0,3
2019-01-19,22,0.005473033,0,1,0,1
2019-01-20,8,0.056789935,0,1,0,1
2019-01-23,4,0.000436631,0,1,0,1
2019-01-23,5,0.023576725,0,1,0,1
2019-01-23,6,0.006636065,0,2,0,2
2019-01-23,9,0.071106956,0,3,0,3
2019-01-23,10,0.148818751,0,6,0,6
2019-01-23,11,0.328340468,0,9,0,9
2019-01-23,12,0.120758606,1,3,0,4
2019-01-23,13,0.008520071,0,1,0,1
2019-01-28,13,0.011548742,1,2,0,3
2019-01-31,5,0.000936613,0,2,0,2
2019-01-31,6,0.004319418,0,3,0,3
2019-01-31,7,0.001584584,0,1,0,1
2019-02-04,2,0.041310056,0,1,0,1
2019-02-04,3,0.077756311,1,1,0,2
2019-02-04,6,0.001584584,1,0,0,1
2019-02-04,11,0.000771211,1,0,0,1
2019-02-04,14,0.000436631,1,0,0,1
2019-02-05,15,0.005599113,1,0,0,1
2019-02-05,16,0.023930489,2,0,0,2
2019-02-05,18,0.001345985,1,0,0,1
2019-02-06,6,0.005599113,0,1,0,1
2019-02-07,7,0.303914472,0,4,0,4
2019-02-07,8,0.008460747000000001,0,2,0,2
2019-02-07,9,0.062874651,0,4,0,4
2019-02-07,10,0.103360672,0,6,0,6
2019-02-07,11,0.010604637,0,3,0,3
2019-02-07,12,0.000909491,0,2,0,2
2019-02-13,10,0.023576725,0,1,0,1
2019-02-20,17,0.005255895,0,1,0,1
2019-02-20,18,0.001036952,0,1,0,1
2019-02-20,19,0.012732437,0,1,0,1
2019-02-20,20,0.000552224,0,1,0,1
2019-02-20,21,0.081951244,0,3,0,3
2019-02-20,22,0.024013356,0,2,0,2
2019-02-20,23,0.0032048520000000002,0,1,0,1
2019-02-20,24,0.020966376000000002,0,1,0,1
2019-02-21,1,0.0077937860000000005,0,3,0,3
2019-02-21,3,0.056789935,0,1,0,1
2019-02-21,4,0.006626511999999999,0,1,0,1
2019-02-21,9,0.047436372000000004,0,1,0,1
2019-02-21,10,0.075464529,0,2,0,2
2019-02-21,11,0.018674594,0,1,0,1
2019-02-21,13,0.0032048520000000002,0,1,0,1
2019-02-22,6,0.008520071,0,1,0,1
2019-02-22,8,0.018674594,0,1,0,1
2019-02-22,10,0.000552224,0,1,0,1
2019-02-22,11,0.210700657,0,3,0,3
2019-02-22,12,0.001079932,0,1,0,1
2019-02-22,13,0.102045079,1,3,0,4
2019-02-22,19,0.000562342,0,1,0,1
2019-02-22,20,0.028838243,0,2,0,2
2019-02-22,21,0.001584584,0,1,0,1
2019-02-22,22,0.000436631,0,1,0,1
2019-02-22,23,0.00047286,0,1,0,1
2019-02-23,11,0.047436372000000004,0,1,0,1
2019-02-23,12,0.006888226,0,2,0,2
2019-02-23,14,0.002150778,0,1,0,1
2019-02-24,11,0.000552224,0,1,0,1
2019-02-24,21,0.001345985,0,1,0,1
2019-02-24,22,0.216556873,0,4,0,4
2019-02-24,23,0.025209056,0,2,0,2
2019-02-24,24,0.005599113,0,1,0,1
2019-02-25,3,0.020966376000000002,0,1,0,1
2019-02-25,4,0.012732437,0,1,0,1
2019-02-25,7,0.006626511999999999,0,1,0,1
2019-02-25,8,0.0032048520000000002,0,1,0,1
2019-02-25,11,0.000562342,0,1,0,1
2019-02-25,16,0.00179431,0,1,0,1
2019-02-25,19,0.0004999819999999999,0,1,0,1
2019-02-25,20,0.000552224,0,1,0,1
2019-02-25,21,0.002021215,0,2,0,2
2019-02-25,22,0.00047286,0,1,0,1
2019-02-25,23,0.056789935,0,1,0,1
2019-02-26,10,0.000771211,0,1,0,1
2019-02-26,11,0.008520071,0,1,0,1
2019-02-27,19,0.001036952,0,1,0,1
2019-02-27,24,0.005599113,0,1,0,1
2019-02-28,10,0.036309162,0,2,0,2
2019-02-28,13,0.022598707000000003,0,2,0,2
2019-02-28,15,0.011724923000000002,0,2,0,2
2019-02-28,16,0.36609521500000003,0,6,0,6
2019-02-28,17,0.025368174,1,6,0,7
2019-02-28,18,0.13255316499999997,4,5,1,8
2019-02-28,19,0.16116588199999998,5,8,2,11
2019-02-28,20,0.133428315,4,4,3,5
2019-02-28,21,0.048288708,5,8,5,8
2019-02-28,22,0.135916512,4,4,1,7
2019-02-28,23,0.089791436,0,5,2,3
2019-02-28,24,0.047975306,3,3,3,3
2019-03-01,1,0.004490229,1,2,1,2
2019-03-01,2,0.130997747,1,3,2,2
2019-03-01,3,0.0032048520000000002,0,1,1,0
2019-03-01,6,0.0072222219999999995,0,1,0,1
2019-03-01,7,0.024613677,0,2,1,1
2019-03-01,9,0.0044146590000000005,0,2,0,2
2019-03-01,10,0.060895016999999996,2,7,0,9
2019-03-01,11,0.050914260999999995,1,5,1,5
2019-03-01,12,0.05813592,1,1,0,2
2019-03-01,13,0.020648159,0,4,1,3
2019-03-01,14,0.054614135999999994,0,5,0,5
2019-03-01,15,0.06713459,0,5,0,5
2019-03-01,16,0.047556769,0,5,0,5
2019-03-01,21,0.012732437,1,0,0,1
2019-03-01,22,0.026068017,3,0,0,3
2019-03-01,23,0.005599113,0,1,1,0
2019-03-02,2,0.018674594,0,1,0,1
2019-03-02,4,0.020966376000000002,0,1,0,1
2019-03-02,5,0.024613677,0,2,0,2
2019-03-02,6,0.041310056,1,0,0,1
2019-03-02,7,0.012423774,0,2,0,2
2019-03-02,10,0.006824661,1,0,0,1
2019-03-02,16,0.001079932,0,1,0,1
2019-03-03,2,0.006626511999999999,1,0,0,1
2019-03-03,11,0.000562342,0,1,0,1
2019-03-03,19,0.001345985,1,0,0,1
2019-03-03,21,0.019754525999999998,2,0,0,2
2019-03-03,22,0.269305681,5,1,0,6
2019-03-03,23,0.001584584,0,1,0,1
2019-03-03,24,0.056789935,1,0,0,1
2019-03-04,4,0.024613677,2,0,0,2
2019-03-04,6,0.00131465,1,0,0,1
2019-03-04,7,0.011882407,2,0,0,2
2019-03-04,8,0.005599113,1,0,0,1
2019-03-04,9,0.0032048520000000002,1,0,0,1
2019-03-04,10,0.020966376000000002,0,1,1,0
2019-03-04,11,0.046628931,5,0,0,5
2019-03-04,12,0.041955927,2,1,0,3
2019-03-04,13,0.060421281,2,1,0,3
2019-03-04,14,0.002136808,1,1,0,2
2019-03-04,15,0.006370324,0,2,1,1
2019-03-04,16,0.001536934,1,1,1,1
2019-03-04,17,0.00047286,0,1,0,1
2019-03-04,18,0.031729917999999996,2,0,0,2
2019-03-04,19,0.023576725,1,0,0,1
2019-03-04,20,0.063262038,2,3,0,5
2019-03-04,21,0.06813976999999999,3,2,0,5
2019-03-04,22,0.001551197,1,2,2,1
2019-03-04,23,0.001632331,0,1,1,0
2019-03-04,24,0.023576725,0,1,1,0
2019-03-05,1,0.20750311999999999,0,3,2,1
2019-03-05,3,0.004111035000000001,0,2,1,1
2019-03-05,6,0.013848733999999998,0,2,1,1
2019-03-05,8,0.018674594,0,1,0,1
2019-03-05,10,0.09774064100000002,5,2,1,6
2019-03-05,11,0.09254985000000002,1,4,1,4
2019-03-05,12,0.047436372000000004,0,1,0,1
2019-03-05,13,0.020327336,0,1,0,1
2019-03-05,15,0.007105364,0,2,1,1
2019-03-05,17,0.022336818999999997,0,1,0,1
2019-03-05,19,0.021231299999999998,0,2,0,2
2019-03-05,20,0.020966376000000002,0,1,0,1
2019-03-05,21,0.034131183999999995,0,2,0,2
2019-03-05,22,0.017025549,0,8,1,7
2019-03-06,13,0.001114566,0,2,0,2
2019-03-06,17,0.056789935,0,1,0,1
2019-03-06,18,0.18929765,0,1,0,1
2019-03-06,19,0.018674594,0,1,0,1
2019-03-06,20,0.00047286,0,1,0,1
2019-03-06,21,0.005255895,0,1,0,1
2019-03-06,22,0.019565309,0,3,0,3
2019-03-06,24,0.024786532,1,1,0,2
2019-03-07,3,0.019445805,1,1,0,2
2019-03-07,4,0.044498564000000004,0,3,0,3
2019-03-07,5,0.009441080000000001,0,3,0,3
2019-03-07,7,0.056789935,0,1,0,1
2019-03-07,9,0.001632331,0,1,0,1
2019-03-07,11,0.023576725,0,1,0,1
2019-03-07,12,0.005599113,0,1,0,1
2019-03-07,13,0.027592888000000003,0,2,0,2
2019-03-07,15,0.012732437,0,1,0,1
2019-03-09,12,0.005599113,0,1,0,1
2019-03-12,5,0.08627638200000001,0,3,0,3
2019-03-12,6,0.023576725,0,1,0,1
2019-03-12,8,0.21422036,0,3,0,3
2019-03-12,9,0.059994787,0,2,0,2
2019-03-12,10,0.077756311,0,2,0,2
2019-03-12,11,0.013294779,0,2,0,2
2019-03-12,13,0.006292847,0,2,0,2
2019-03-12,15,0.005599113,0,1,0,1
2019-03-19,22,0.024013356,0,2,0,2
2019-03-20,1,0.030203237,0,2,0,2
2019-03-20,2,0.0032048520000000002,0,1,0,1
2019-03-20,3,0.012732437,0,1,0,1
2019-03-20,4,0.005599113,0,1,0,1
2019-03-20,5,0.18929765,0,1,0,1
2019-03-20,10,0.189217272,0,8,0,8
2019-03-20,11,0.15036702899999999,0,4,0,4
2019-03-20,12,0.05022977000000001,0,4,0,4
2019-03-20,13,0.023682804,0,2,0,2
2019-03-20,14,0.0065705450000000006,0,2,0,2
2019-03-25,23,0.000436631,0,1,0,1
2019-03-26,20,0.005255895,0,1,0,1
2019-03-26,21,0.006636065,0,2,0,2
2019-03-27,8,0.18929765,0,1,0,1
2019-03-27,9,0.020966376000000002,0,1,0,1
2019-03-27,10,0.056789935,0,1,0,1
2019-03-28,1,0.0032048520000000002,0,1,0,1
2019-03-28,2,0.09435976400000001,0,4,0,4
2019-03-28,3,0.062045829999999996,0,2,0,2
2019-03-28,4,0.024613677,0,2,0,2
2019-03-28,5,0.02700212,0,3,0,3
2019-03-28,7,0.018674594,0,1,0,1
2019-03-28,8,0.019358949,0,2,0,2
2019-03-28,9,0.001642274,0,2,0,2
2019-03-28,10,0.002294292,0,2,0,2
2019-03-28,12,0.001632331,0,1,0,1
2019-04-05,14,0.056789935,1,0,0,1
2019-04-05,15,0.12495362600000001,6,1,0,7
2019-04-05,16,0.25661842300000004,4,0,0,4
2019-04-05,17,0.007617546,4,0,0,4
2019-04-05,18,0.054500214000000005,10,0,0,10
2019-04-05,19,0.065543274,4,0,0,4
2019-04-05,20,0.056095268,4,0,0,4
2019-04-05,21,0.045956153000000007,4,0,0,4
2019-04-05,22,0.013607547999999999,1,1,0,2
2019-04-07,2,0.000436631,0,1,0,1
2019-04-07,4,0.000552224,0,1,0,1
2019-04-07,7,0.012732437,0,1,0,1
2019-04-07,9,0.000562342,0,1,0,1
2019-04-07,12,0.001036952,0,1,0,1
2019-04-22,15,0.044543101,2,0,0,2
2019-04-22,19,0.056789935,1,0,0,1
2019-04-22,20,0.19250250200000002,2,0,0,2
2019-04-22,24,0.001345985,1,0,0,1
2019-04-23,2,0.056789935,0,1,0,1
2019-04-25,11,0.000530393,1,0,0,1
2019-05-01,15,0.001209807,1,0,0,1
2019-05-01,16,0.002053708,1,0,0,1
2019-05-01,18,0.000848746,1,0,0,1
2019-05-01,20,0.013055323999999998,0,1,0,1
2019-05-02,2,0.013055323999999998,1,0,0,1
2019-05-02,4,0.018674594,1,0,0,1
2019-05-02,10,0.0021168840000000003,2,0,0,2
2019-05-02,11,0.055708815,6,0,0,6
2019-05-02,12,0.00179431,1,0,0,1
2019-05-04,2,0.008268396,0,3,0,3
2019-05-04,5,0.020966376000000002,0,1,0,1
2019-05-04,6,0.023576725,0,1,0,1
2019-05-04,7,0.05998465,0,2,0,2
2019-05-04,8,0.005255895,0,1,0,1
2019-05-04,9,0.056789935,0,1,0,1
2019-05-04,10,0.056789935,0,1,0,1
2019-05-04,11,0.001345985,0,1,0,1
2019-05-05,11,0.056789935,0,1,0,1
2019-05-06,16,0.001036952,1,0,0,1
2019-05-16,2,0.006626511999999999,0,1,0,1
2019-05-16,7,0.005599113,0,1,0,1
2019-05-16,10,0.056789935,0,1,0,1
2019-05-17,22,0.056789935,0,1,0,1
2019-05-24,9,0.004830666,0,1,0,1
2019-05-24,16,0.005255895,1,0,0,1
2019-05-24,18,0.005255895,0,1,0,1
2019-05-24,20,0.005599113,0,1,0,1
2019-05-24,22,0.031407031,0,2,0,2
2019-05-24,23,0.099136943,0,3,0,3
2019-05-24,24,0.0021845550000000004,0,2,0,2
2019-05-25,1,0.242261573,0,5,0,5
2019-05-25,2,0.075464529,0,2,0,2
2019-05-25,3,0.020966376000000002,0,1,0,1
2019-05-25,6,0.044514908,0,2,0,2
2019-05-25,8,0.002660635,0,2,0,2
2019-05-25,10,0.056789935,0,1,0,1
2019-06-05,24,0.028338261,0,1,0,1
2019-06-06,18,0.001632331,0,1,0,1
2019-06-13,23,0.0004999819999999999,0,1,0,1
2019-06-14,15,0.002150778,0,1,0,1
2019-07-15,11,0.00131465,0,1,0,1
2019-10-05,1,0.012732437,0,1,0,1
2019-10-17,23,0.001632331,0,1,0,1
2019-10-29,2,0.021335229,3,0,0,3
2019-10-29,3,0.041310056,1,0,0,1
2019-10-29,5,0.207972244,2,0,0,2
2019-10-29,6,0.005255895,1,0,0,1
2019-10-29,9,0.0072222219999999995,1,0,0,1
2019-10-29,10,0.000771211,1,0,0,1
2019-10-29,11,0.000436631,1,0,0,1
2019-10-29,12,0.048487566,7,0,0,7
2019-10-29,13,0.21736536399999995,17,0,0,17
2019-10-29,14,0.066798181,8,0,0,8
2019-10-29,15,0.07399437,6,0,0,6
2019-10-29,19,0.023576725,1,0,0,1
2019-10-31,18,0.024171228000000003,2,0,0,2
2019-10-31,19,0.078125164,4,0,0,4
2019-10-31,20,0.18929765,1,0,0,1
2019-10-31,21,0.041310056,1,0,0,1
2019-10-31,22,0.005473033,1,0,0,1
2019-10-31,23,0.000530393,1,0,0,1
2019-11-01,7,0.013055323999999998,1,0,0,1
2019-11-01,9,0.005255895,1,0,0,1
2019-11-01,10,0.000771211,1,0,0,1
2019-11-01,11,0.019877745999999998,7,0,0,7
2019-11-01,12,0.22016107399999998,11,2,0,13
2019-11-01,13,0.061885779,6,1,0,7
2019-11-01,14,0.025477677,4,0,0,4
2019-11-03,13,0.158122971,0,4,0,4
2019-11-06,13,0.11357987,1,1,0,2
2019-11-09,12,0.056789935,0,1,0,1
2019-11-09,23,0.005599113,0,1,0,1
2019-11-18,12,0.076810514,3,0,0,3
2019-11-18,13,0.252888732,4,0,0,4
2019-11-18,14,0.10853895300000001,6,0,0,6
2019-11-18,15,0.058315564,3,0,0,3
2019-11-18,16,0.049016345,5,0,0,5
2019-11-18,17,0.013036157999999999,4,0,0,4
2019-11-18,18,0.06984525899999999,2,0,0,2
2019-11-18,19,0.008520071,1,0,0,1
2019-12-01,16,0.006626511999999999,0,1,0,1
2019-12-10,12,0.037349188,0,2,0,2
2019-12-10,13,0.374474983,0,6,0,6
2019-12-10,14,0.11997943700000001,2,2,0,4
2019-12-10,15,0.083027295,0,4,0,4
2019-12-10,16,0.020966376000000002,1,0,0,1
2019-12-10,17,0.06888948,1,2,0,3
2019-12-10,19,0.020966376000000002,0,1,0,1
2019-12-10,20,0.072118225,0,4,0,4
2019-12-10,22,0.008520071,0,1,0,1
2019-12-11,8,0.002660635,0,2,0,2
2019-12-11,9,0.020020579,2,0,0,2
2019-12-11,10,0.056789935,1,0,0,1
2019-12-11,11,0.22893862,2,1,0,3
2019-12-11,12,0.075464529,2,0,0,2
2019-12-11,13,0.029186384,1,2,0,3
2019-12-11,14,0.013088457000000001,3,3,0,6
2019-12-11,15,0.069607534,2,5,0,7
2019-12-11,16,0.029900567,1,3,0,4
2019-12-11,17,0.018082641,0,7,0,7
2019-12-17,13,0.009661332,1,1,0,2
2019-12-24,14,0.056789935,0,1,0,1
2019-12-24,15,0.027592888000000003,0,2,0,2
