≥Ø¬•,∆Ú±’,∆Ú±’√÷¿˙,∆Ú±’√÷∞Ì
1/1/2019,-2.1,-5.8,2.1
1/2/2019,-2.5,-7,3.2
1/3/2019,-2.1,-7.7,5
1/4/2019,-0.7,-7.3,5.3
1/5/2019,0.2,-4.6,5.3
1/6/2019,-1.3,-6.1,5.7
1/7/2019,-0.5,-6.3,5.5
1/8/2019,-0.7,-4.8,4.2
1/9/2019,-2.9,-8,2.9
1/10/2019,0.5,-3.4,5.1
1/11/2019,2.1,-3.4,8.1
1/12/2019,3,-0.3,7.5
1/13/2019,1.3,-3.2,8.2
1/14/2019,1,-4.1,7.5
1/15/2019,0.9,-3.9,6.1
1/16/2019,-3.2,-7.9,1.7
1/17/2019,0.4,-4,5.4
1/18/2019,0.8,-5.1,8.1
1/19/2019,2.9,-2.7,9.3
1/20/2019,1.6,-2.8,5.5
1/21/2019,0.5,-5.5,6.2
1/22/2019,2.6,-3.2,9
1/23/2019,3.1,-2.2,9.6
1/24/2019,0.7,-5.2,8.2
1/25/2019,-0.4,-5.1,5.5
1/26/2019,-1.8,-6.2,3.7
1/27/2019,-0.2,-7.8,7.1
1/28/2019,2.6,-2.6,7.2
1/29/2019,0,-6.5,8.1
1/30/2019,3.5,-3.1,10.1
1/31/2019,0.3,-3.8,4.7
2/1/2019,-1.3,-6.7,4.1
2/2/2019,2.1,-4.8,8.5
2/3/2019,5.6,2.6,9.8
2/4/2019,2.5,-1.5,6.8
2/5/2019,2.9,-4.1,11
2/6/2019,5.6,-1.2,12.9
2/7/2019,2.1,-3.9,7.4
2/8/2019,-2,-5.9,3.2
2/9/2019,-1.7,-4.2,1.7
2/10/2019,-1.4,-6.3,3.2
2/11/2019,-0.8,-4.7,3.9
2/12/2019,0.1,-6,6
2/13/2019,0.3,-4.1,5.3
2/14/2019,0.6,-3.7,6.5
2/15/2019,2,-1.5,6
2/16/2019,-0.3,-3.5,3.3
2/17/2019,-0.2,-5.7,6.3
2/18/2019,2.2,-4.4,7.5
2/19/2019,2.9,0.6,5.7
2/20/2019,2.8,-0.5,7
2/21/2019,2.7,-2.7,9.4
2/22/2019,3.9,-1.5,11.1
2/23/2019,5,-1.3,13.2
2/24/2019,6.1,-1.5,14.3
2/25/2019,6,0.8,12.8
2/26/2019,5.4,-1.5,12.8
2/27/2019,7.1,3.4,11.8
2/28/2019,6.8,1.4,13.4
3/1/2019,6,-0.3,13.7
3/2/2019,6.9,-0.8,14.6
3/3/2019,8.7,2.4,14.8
3/4/2019,8.8,3.9,15.2
3/5/2019,8.2,1.2,14.4
3/6/2019,8.8,4.7,14.3
3/7/2019,6.5,2.1,12.1
3/8/2019,6.1,-1.3,14.5
3/9/2019,7.9,-1,16.1
3/10/2019,7.8,3.8,11.9
3/11/2019,6.4,0.7,11.9
3/12/2019,5.8,0.9,11.9
3/13/2019,3.9,-1.5,9.4
3/14/2019,5.2,-2.4,11.8
3/15/2019,5.8,1,12.3
3/16/2019,5.8,1.4,11.1
3/17/2019,6.6,1.1,13.1
3/18/2019,7.5,-0.7,15
3/19/2019,10.7,2.2,19
3/20/2019,11.4,5.3,17.2
3/21/2019,9.8,4.5,15
3/22/2019,5.2,1.6,10.5
3/23/2019,4.2,-0.3,10.3
3/24/2019,4.7,-2.1,11.3
3/25/2019,7.2,0.4,13.8
3/26/2019,10.5,3.2,18.7
3/27/2019,12.8,4.8,19.9
3/28/2019,10.6,6.6,16.1
3/29/2019,10.6,5,17
3/30/2019,7.2,3.7,12.2
3/31/2019,5.4,2.3,9.2
4/1/2019,5.7,-0.1,11.4
4/2/2019,6.7,-0.4,13.4
4/3/2019,7.4,-0.4,14.5
4/4/2019,9.9,1.3,17.9
4/5/2019,11.7,5.2,19
4/6/2019,11.6,3.4,19
4/7/2019,12.5,7.4,18.4
4/8/2019,11.8,5.1,19.1
4/9/2019,9.3,4.8,15.4
4/10/2019,7.2,4.5,9.9
4/11/2019,8.8,3.3,14.3
4/12/2019,10.7,4.1,17.7
4/13/2019,11.6,4,18.9
4/14/2019,10.2,6.3,14.7
4/15/2019,11.1,2.3,19.6
4/16/2019,14.2,4.3,23.3
4/17/2019,15.5,8.7,23
4/18/2019,15.3,8.4,21.6
4/19/2019,12.8,9.5,17.6
4/20/2019,14.7,7.7,21.6
4/21/2019,16.5,12,22.1
4/22/2019,17.6,10.2,25.6
4/23/2019,16.8,12.1,21.8
4/24/2019,17.3,14.2,22
4/25/2019,13.5,10.2,17
4/26/2019,9.4,7.6,11.6
4/27/2019,11.4,4.9,17.8
4/28/2019,12.1,8.4,17.1
4/29/2019,11.3,8,14.3
4/30/2019,14.6,9.8,20.5
5/1/2019,15.4,10.1,22.1
5/2/2019,16,8.3,24.1
5/3/2019,16.7,7.6,25.9
5/4/2019,17.6,8.8,26.5
5/5/2019,18.9,10.9,27.3
5/6/2019,14,8.3,20.3
5/7/2019,13.9,5.2,21.8
5/8/2019,15.7,7.2,22.9
5/9/2019,17.1,11.1,24.1
5/10/2019,17.6,8.7,26.7
5/11/2019,18.5,10.2,27.3
5/12/2019,18.4,11.1,26
5/13/2019,17.9,11.4,24.5
5/14/2019,19.8,13.9,26.6
5/15/2019,20.3,14.3,27.3
5/16/2019,21.4,14.6,28.9
5/17/2019,21.3,15,27.3
5/18/2019,18.8,16.4,21.8
5/19/2019,19.5,16.9,22.6
5/20/2019,17,11.9,21
5/21/2019,17,9,24.2
5/22/2019,19.2,10.3,27.3
5/23/2019,20.9,12.8,29
5/24/2019,22.9,14,31.6
5/25/2019,23.3,16.9,30.1
5/26/2019,23.2,16.4,30.1
5/27/2019,18.6,15.4,22.1
5/28/2019,17.8,12.6,23.8
5/29/2019,19.7,11.1,27.4
5/30/2019,20.5,12.7,27.6
5/31/2019,18.6,14.4,24
6/1/2019,18.9,12.4,25.3
6/2/2019,20.6,13.6,27.8
6/3/2019,22,14,29.7
6/4/2019,23.1,16.1,30.3
6/5/2019,22.9,16.8,29.9
6/6/2019,21.1,16.9,26.9
6/7/2019,18.6,16.6,21.2
6/8/2019,20.1,15.5,25.5
6/9/2019,19.7,16.1,25
6/10/2019,18.3,15.3,22.2
6/11/2019,18.8,14.8,23.8
6/12/2019,19.7,14.3,25.9
6/13/2019,21.2,14.7,28
6/14/2019,20.2,16.8,24.7
6/15/2019,20.4,16.1,26.4
6/16/2019,20.2,15.2,26.1
6/17/2019,21.3,16.8,26.8
6/18/2019,21.3,17.3,26.2
6/19/2019,22.2,18.3,27.5
6/20/2019,23.4,18.2,29.2
6/21/2019,22.8,18.5,28.7
6/22/2019,21.7,17.4,27.1
6/23/2019,21.6,16.4,27.3
6/24/2019,22.5,17.2,28.4
6/25/2019,23.6,17.1,30.4
6/26/2019,21.1,18,24.4
6/27/2019,23.8,20.6,28.8
6/28/2019,23.6,20.7,28.1
6/29/2019,21.6,19.9,24.1
6/30/2019,23.8,20.1,28.5
7/1/2019,23.2,19.9,26.9
7/2/2019,23.4,18.5,29.2
7/3/2019,23.1,18.4,28.5
7/4/2019,24.4,18.4,31.2
7/5/2019,25.1,19.1,32
7/6/2019,25.1,19,31.3
7/7/2019,23.5,19.8,28.2
7/8/2019,22.6,18.9,27.3
7/9/2019,22.6,18.4,27
7/10/2019,20.9,19.2,23.3
7/11/2019,22.2,19.7,25.6
7/12/2019,23.2,19.6,27.9
7/13/2019,23.3,20.1,27.8
7/14/2019,23.9,20.2,29.1
7/15/2019,23.2,20.6,27.1
7/16/2019,23.8,20.3,28.7
7/17/2019,24.4,20.7,28.8
7/18/2019,24.3,21.4,27.8
7/19/2019,25.2,22.1,28.5
7/20/2019,24.8,23.2,27.1
7/21/2019,24.8,22.6,27.8
7/22/2019,27,23.2,31.6
7/23/2019,27.9,24.2,32.8
7/24/2019,26.8,24.8,29.7
7/25/2019,26.6,24.8,29.2
7/26/2019,26.5,24.7,29.2
7/27/2019,27.1,24.6,30.5
7/28/2019,26.9,25,29.9
7/29/2019,27.8,24.3,32.1
7/30/2019,28.4,24.7,32.5
7/31/2019,28.4,25.2,32.2
8/1/2019,28.4,24.6,33.1
8/2/2019,28.8,24.3,34.2
8/3/2019,28.3,24.2,34.1
8/4/2019,28.4,23.9,34.2
8/5/2019,28.8,24.2,34.6
8/6/2019,27.6,23.8,32.1
8/7/2019,27.2,23.8,32.1
8/8/2019,27.6,24.2,33.2
8/9/2019,28.3,24.2,33.6
8/10/2019,28.6,24.5,33.4
8/11/2019,28.3,24.8,32.3
8/12/2019,27.7,25.3,31
8/13/2019,28.5,24.3,33.7
8/14/2019,28.6,24.7,33
8/15/2019,26.1,24.2,29.1
8/16/2019,26.4,23.3,30.7
8/17/2019,26.2,22,31
8/18/2019,25.3,21.1,30.8
8/19/2019,25.1,20,30.8
8/20/2019,26,21.7,30.9
8/21/2019,25.8,22.5,30.1
8/22/2019,25.8,23,30.3
8/23/2019,24.7,20.8,29.5
8/24/2019,22.8,18.9,27.6
8/25/2019,23.2,18.9,28.7
8/26/2019,24.3,19,30
8/27/2019,22.7,20.5,25.4
8/28/2019,23.8,21,27.7
8/29/2019,22.4,19.9,25.7
8/30/2019,22.9,18.6,28.1
8/31/2019,22.6,17.6,28.5
9/1/2019,22.1,18,26.8
9/2/2019,21.6,19.1,25.1
9/3/2019,22.1,20.1,24.8
9/4/2019,23.4,21.4,26.2
9/5/2019,24.2,21.8,29
9/6/2019,25.4,22.1,28.9
9/7/2019,25.8,22.6,29.1
9/8/2019,24.6,21.8,28.5
9/9/2019,24.7,22.4,28.3
9/10/2019,25.4,22.5,29.6
9/11/2019,23.9,21.5,27.8
9/12/2019,20.8,18.6,23.5
9/13/2019,21.7,17.1,27.4
9/14/2019,22.3,17.4,27.5
9/15/2019,23.4,19.7,28.8
9/16/2019,22.4,18.1,28.2
9/17/2019,21.3,15.5,27.8
9/18/2019,21,15.4,27.9
9/19/2019,19.2,13.5,25.6
9/20/2019,19.3,15,23.7
9/21/2019,17.8,16,20.7
9/22/2019,17.5,16.1,19.1
9/23/2019,18.1,14.4,22.5
9/24/2019,17.8,12.6,25
9/25/2019,18.4,12.6,24.8
9/26/2019,20.4,16,26.2
9/27/2019,21.4,16.8,26.9
9/28/2019,22.5,19.3,27.4
9/29/2019,22.2,18,28.5
9/30/2019,21.6,16.4,28.2
10/1/2019,21.5,18.4,24.9
10/2/2019,21.1,19.8,22.9
10/3/2019,22,18.7,26.3
10/4/2019,21.2,17.1,26.9
10/5/2019,18.9,15.5,22.6
10/6/2019,17.3,13.4,21.8
10/7/2019,15.5,13.8,17.7
10/8/2019,15.9,10.3,22
10/9/2019,13.3,6.8,21.2
10/10/2019,14.9,8.6,21.6
10/11/2019,17.9,11.9,24.8
10/12/2019,18,13.5,23.4
10/13/2019,15.9,10.6,22.3
10/14/2019,14.7,9.3,21.3
10/15/2019,13.3,8.5,18.8
10/16/2019,13.3,8.1,20.4
10/17/2019,14,9.5,19.9
10/18/2019,15.3,11,19.5
10/19/2019,16.2,11.6,22.6
10/20/2019,15.1,10.4,22.6
10/21/2019,15.3,9.5,23
10/22/2019,15.9,10.3,22.9
10/23/2019,16,12.1,20
10/24/2019,17.4,13.6,22.1
10/25/2019,16.9,12,22.7
10/26/2019,12.8,8.9,17
10/27/2019,10.7,5.4,17.4
10/28/2019,11.5,4.5,18.5
10/29/2019,13.2,8,18.8
10/30/2019,11.3,5.7,18.3
10/31/2019,13.3,6.1,20.7
11/1/2019,14.3,9,21.8
11/2/2019,13.5,7.7,19.9
11/3/2019,13.8,9.4,20.5
11/4/2019,12.5,7.6,18.9
11/5/2019,11.7,6,19.1
11/6/2019,11.3,5.5,18.6
11/7/2019,10.8,5.7,16.9
11/8/2019,7.8,2.3,15.3
11/9/2019,8.5,1.6,17.3
11/10/2019,9.4,3,15.8
11/11/2019,12.1,7.8,16.9
11/12/2019,9.7,4.8,16.6
11/13/2019,8.9,3.7,13.9
11/14/2019,3.7,-0.7,8.6
11/15/2019,7.2,-1,14
11/16/2019,10.3,5.1,17.1
11/17/2019,11,6.1,15.4
11/18/2019,8.7,3.4,16.4
11/19/2019,3.7,0.6,7
11/20/2019,2.6,-2.1,8.9
11/21/2019,5,-2.6,12.2
11/22/2019,9.3,2.8,17.3
11/23/2019,10.8,4.7,18.2
11/24/2019,12.8,7.4,19.6
11/25/2019,5.9,3.3,10.6
11/26/2019,7.7,2.6,13.5
11/27/2019,6.2,2.6,9.7
11/28/2019,4.7,0.3,10.4
11/29/2019,3.4,-1.2,9.9
11/30/2019,5.4,-1.5,12.7
12/1/2019,6.3,4.7,8.1
12/2/2019,3.6,0.2,6.8
12/3/2019,2.4,-2.7,6.8
12/4/2019,4.2,-0.3,9.5
12/5/2019,0.2,-4.4,4.8
12/6/2019,-3.2,-7.7,2.3
12/7/2019,0.1,-6.5,6.1
12/8/2019,1.4,-3.3,8
12/9/2019,3,-3.6,10.1
12/10/2019,6.5,1.5,13.4
12/11/2019,6.9,1.8,13.3
12/12/2019,1.7,-2.4,6.1
12/13/2019,1.6,-4.6,8.1
12/14/2019,4,-0.1,9
12/15/2019,4.7,-1.5,12.4
12/16/2019,7.1,1,14.1
12/17/2019,8.3,3.9,12.5
12/18/2019,4.6,1.8,8.5
12/19/2019,2.2,-1.3,6.8
12/20/2019,1,-3,5.4
12/21/2019,0.2,-4.1,4.7
12/22/2019,3,-1.1,9
12/23/2019,3.8,-1,8.7
12/24/2019,2.1,-2,9
12/25/2019,3.5,-3.2,10.9
12/26/2019,3.7,1.4,6.1
12/27/2019,0.6,-3.2,5.1
12/28/2019,0.5,-4.9,7.5
12/29/2019,2.6,-2.4,6.6
12/30/2019,5,0.1,9.8
12/31/2019,-3.8,-6.7,0.4
